Loading dataset...
Initializing model...
Starting training...
trainable params: 5,898,240 || all params: 4,028,366,336 || trainable%: 0.1464
총 300개의 JSON 파일을 로드합니다.
총 300개의 JSON 파일이 성공적으로 로드되었습니다.
총 학습 스텝 수: 15000
[E1] step 4580 loss 0.8952
[E1] step 4590 loss 0.1769
[E1] step 4600 loss 6.0078
[E1] step 4610 loss 1.6871
[E1] step 4620 loss 2.6661
[E1] step 4630 loss 0.7455
[E1] step 4640 loss 0.3267
[E1] step 4650 loss 1.8620
[E1] step 4660 loss 2.5113
[E1] step 4670 loss 0.4727
[E1] step 4680 loss 0.4587
[E1] step 4690 loss 0.3748
[E1] step 4700 loss 0.6487
[E1] step 4710 loss 0.4585
[E1] step 4720 loss 3.2878
[E1] step 4730 loss 2.9437
[E1] step 4740 loss 0.8835
[E1] step 4750 loss 0.9344
[E1] step 4760 loss 0.2632
[E1] step 4770 loss 0.2242
[E1] step 4780 loss 5.4905
[E1] step 4790 loss 0.3343
[E1] step 4800 loss 1.6981
[E1] step 4810 loss 1.8116
[E1] step 4820 loss 0.0323
[E1] step 4830 loss 0.1264
[E1] step 4840 loss 0.1954
[E1] step 4850 loss 1.6117
[E1] step 4860 loss 2.3776
[E1] step 4870 loss 0.7107
[E1] step 4880 loss 2.2911
[E1] step 4890 loss 0.8843
[E1] step 4900 loss 0.7171
[E1] step 4910 loss 0.3559
[E1] step 4920 loss 0.2763
[E1] step 4930 loss 0.2277
[E1] step 4940 loss 0.8293
[E1] step 4950 loss 0.2445
[E1] step 4960 loss 0.0187
[E1] step 4970 loss 0.1143
[E1] step 4980 loss 0.3240
[E1] step 4990 loss 1.2425
[E1] step 5000 loss 1.3328
[E1] step 5010 loss 1.4323
[E1] step 5020 loss 0.9297
[E1] step 5030 loss 1.1674
[E1] step 5040 loss 0.5132
[E1] step 5050 loss 0.6816
[E1] step 5060 loss 0.6301
[E1] step 5070 loss 0.9351
[E1] step 5080 loss 0.2682
[E1] step 5090 loss 1.0769
[E1] step 5100 loss 1.3772
[E1] step 5110 loss 2.2562
[E1] step 5120 loss 0.2303
[E1] step 5130 loss 1.0288
[E1] step 5140 loss 1.3715
[E1] step 5150 loss 1.7354
[E1] step 5160 loss 1.0638
[E1] step 5170 loss 2.1287
[E1] step 5180 loss 0.6210
[E1] step 5190 loss 0.9328
[E1] step 5200 loss 2.6604
[E1] step 5210 loss 0.0505
[E1] step 5220 loss 1.2191
[E1] step 5230 loss 2.3318
[E1] step 5240 loss 0.1001
[E1] step 5250 loss 1.4411
[E1] step 5260 loss 0.7250
[E1] step 5270 loss 0.0421
[E1] step 5280 loss 0.2122
[E1] step 5290 loss 0.3942
[E1] step 5300 loss 0.3224
[E1] step 5310 loss 0.0096
[E1] step 5320 loss 2.8776
[E1] step 5330 loss 0.7671
[E1] step 5340 loss 4.6101
[E1] step 5350 loss 1.3261
[E1] step 5360 loss 0.2782
[E1] step 5370 loss 0.0075
[E1] step 5380 loss 0.2312
[E1] step 5390 loss 0.6065
[E1] step 5400 loss 0.0019
[E1] step 5410 loss 0.7167
[E1] step 5420 loss 0.0047
[E1] step 5430 loss 1.2221
[E1] step 5440 loss 0.6464
[E1] step 5450 loss 0.1472
[E1] step 5460 loss 0.6768
[E1] step 5470 loss 0.7663
[E1] step 5480 loss 0.2002
[E1] step 5490 loss 2.1094
[E1] step 5500 loss 1.3565
[E1] step 5510 loss 2.1136
[E1] step 5520 loss 0.5261
[E1] step 5530 loss 1.0362
[E1] step 5540 loss 1.1245
[E1] step 5550 loss 1.2176
[E1] step 5560 loss 0.5806
[E1] step 5570 loss 0.2437
[E1] step 5580 loss 0.0897
[E1] step 5590 loss 1.7883
[E1] step 5600 loss 0.4625
[E1] step 5610 loss 4.2044
[E1] step 5620 loss 1.5265
[E1] step 5630 loss 2.0550
[E1] step 5640 loss 5.1992
[E1] step 5650 loss 9.1678
[E1] step 5660 loss 0.1463
[E1] step 5670 loss 0.9393
[E1] step 5680 loss 1.8104
[E1] step 5690 loss 1.9301
[E1] step 5700 loss 0.5116
[E1] step 5710 loss 2.2952
[E1] step 5720 loss 0.2846
[E1] step 5730 loss 0.7808
[E1] step 5740 loss 1.2818
[E1] step 5750 loss 0.5297
[E1] step 5760 loss 0.8431
[E1] step 5770 loss 1.0127
[E1] step 5780 loss 1.0449
[E1] step 5790 loss 1.0924
[E1] step 5800 loss 0.1301
[E1] step 5810 loss 1.1524
[E1] step 5820 loss 0.0120
[E1] step 5830 loss 0.2688
[E1] step 5840 loss 0.0148
